user_idx,item_idx,label,weight,price_norm,category_idx
52,335,1,5,1.357932473121997,5
65,254,1,3,-0.48580544645815515,6
7,335,1,5,1.357932473121997,5
131,443,1,1,1.0723515581274796,5
23,462,1,2,-1.7086882974382227,1
169,491,1,1,-1.4101509704212698,2
119,304,1,1,-1.513167942262156,1
83,429,1,2,-1.5951442408291077,5
161,386,1,2,-0.4065284003958775,2
158,117,1,1,0.3979433198346613,6
137,207,1,1,0.738885903700044,1
146,467,1,2,-0.6600017068472968,3
146,336,1,1,0.10456156510163578,4
164,213,1,1,1.4380867762482938,6
105,142,1,3,-1.1088604058495493,2
92,264,1,1,1.4502334125193272,3
73,312,1,1,-0.17786122446241298,3
35,83,1,1,1.0694633579474784,6
98,145,1,2,0.4037872015072807,4
133,412,1,1,-1.3211701116046888,6
59,34,1,3,1.1565277474857407,6
177,323,1,3,0.22919954950496133,1
150,362,1,1,-0.04847255565086107,1
94,228,1,1,0.1312571723728624,1
38,457,1,1,-1.4260495676738,4
150,294,1,1,1.2659554440252279,1
70,109,1,3,1.5092120797464559,4
99,267,1,1,-0.8690993021218743,4
108,372,1,1,-0.6361673072310247,5
20,211,1,1,0.4170675238302771,1
4,397,1,2,-1.5908659256091993,5
193,22,1,1,-1.6582797569134344,1
144,401,1,3,-1.4765525820362522,6
151,140,1,1,0.5418539671213598,3
39,497,1,2,-1.0585868279499944,4
164,244,1,2,-1.497282841272149,5
8,271,1,1,-0.21803959799448663,1
7,382,1,1,0.5914257393696992,6
179,39,1,1,-0.8282731079886788,3
185,151,1,5,0.6093622722632585,1
154,488,1,1,-1.3489319236152617,5
71,195,1,1,-1.1594039089995714,4
54,461,1,1,-0.00321958741000015,6
135,41,1,1,-1.6797388143255934,5
27,369,1,1,0.5720990914362328,4
140,16,1,1,-1.2486007080165262,3
162,143,1,1,0.11485921340696739,5
9,479,1,3,-0.24153659104767447,2
78,97,1,1,0.9073597487792766,5
134,429,1,1,-1.5951442408291077,5
76,382,1,1,0.5914257393696992,6
15,9,1,2,-1.4719773490408294,3
113,353,1,3,-0.8052349878612856,1
21,422,1,2,-0.9091292167661907,4
143,25,1,1,1.0241294121314772,2
18,340,1,1,-1.6045376395453734,5
136,271,1,2,-0.21803959799448663,1
70,493,1,1,0.9222866151301243,2
95,228,1,1,0.1312571723728624,1
59,375,1,2,-0.3485619528580017,4
138,272,1,1,-1.6764457262698909,5
68,332,1,1,-0.7356077695032177,1
49,239,1,1,-0.013733175915705683,4
53,496,1,1,1.3130978890193608,4
72,354,1,1,-1.389866087848644,2
118,368,1,1,0.30503504862377956,3
119,4,1,1,-0.3670653287775425,1
140,390,1,1,-0.09901605880088317,6
17,15,1,2,-1.6256053053443547,1
85,359,1,1,1.6152252218675303,2
180,354,1,1,-1.389866087848644,2
165,442,1,1,-1.2683727326132639,2
119,426,1,1,-0.6101870018735367,5
38,375,1,1,-0.3485619528580017,4
0,454,1,3,-1.5717552178761067,4
140,137,1,2,-1.1228155412987142,5
8,487,1,1,0.7815340932738944,6
73,488,1,1,-1.3489319236152617,5
186,152,1,1,1.0112539776841818,6
43,245,1,3,0.43666409701421094,2
171,313,1,1,-0.16305582447427566,6
52,272,1,1,-1.6764457262698909,5
30,355,1,2,-1.3441137578944184,6
88,291,1,5,-1.2778336126421463,1
136,281,1,1,1.3567852908075106,4
129,244,1,1,-1.497282841272149,5
53,137,1,1,-1.1228155412987142,5
76,66,1,1,0.1566436421793221,6
52,474,1,1,-0.30704744933611433,5
80,390,1,1,-0.09901605880088317,6
66,249,1,1,-1.0725419633991595,1
35,26,1,1,1.20962204425268,1
149,63,1,1,-0.0216554820169241,5
167,192,1,1,1.490020394438223,4
51,63,1,1,-0.0216554820169241,5
140,343,1,1,-0.4187965030296212,6
38,134,1,2,-1.7314699885776719,1
179,16,1,1,-1.2486007080165262,3
81,443,1,1,1.0723515581274796,5
197,105,1,1,0.18968249283653282,5
146,37,1,5,1.4032799152005215,5
145,424,1,2,1.4199208068918372,2
193,404,1,1,-0.12564418475949296,5
30,56,1,2,-1.266847654948123,2
82,1,1,1,0.9417212331637776,5
115,21,1,2,1.5893258940851824,4
87,245,1,5,0.43666409701421094,2
98,303,1,1,0.22550157357355782,5
162,421,1,1,-1.248924618317087,3
57,296,1,2,-1.0030497076663254,5
138,150,1,3,0.5246867211916326,3
153,253,1,2,-1.5191332902974857,6
18,382,1,1,0.5914257393696992,6
60,32,1,1,0.9247969199594712,3
189,235,1,2,-0.634358808052893,6
0,24,1,1,0.8512692817321493,4
36,80,1,1,-0.8789380775014112,4
120,157,1,1,-0.18598597450148197,6
39,318,1,1,-1.5900966386453672,2
92,82,1,3,1.4550650745026938,6
74,286,1,1,0.728790699332563,5
105,99,1,2,0.09796189272770765,3
56,251,1,1,-0.6929325874043205,3
88,24,1,1,0.8512692817321493,4
20,357,1,1,-1.7324687120044013,5
89,211,1,1,0.4170675238302771,1
132,97,1,5,0.9073597487792766,5
38,135,1,1,-1.2370614035590446,4
149,207,1,1,0.738885903700044,1
93,168,1,1,1.6292208461042652,4
152,393,1,1,-1.669198233294841,3
125,44,1,1,-0.7460268841712596,3
92,469,1,1,1.4894265588871949,6
96,159,1,3,0.8995993978283386,3
143,204,1,1,1.232039336303998,5
79,246,1,1,1.3142450713338472,4
48,140,1,1,0.5418539671213598,3
10,324,1,3,-0.038741750371511015,1
19,475,1,1,-1.5507820259147893,2
132,267,1,1,-0.8690993021218743,4
63,484,1,1,0.24395096444300515,6
138,252,1,2,-0.8122800368984848,3
71,475,1,1,-1.5507820259147893,2
65,482,1,1,0.6736314743995483,4
162,65,1,1,-0.37896903232315515,3
163,341,1,1,1.5508750421561002,4
110,452,1,1,1.4629603880788655,5
140,496,1,3,1.3130978890193608,4
138,145,1,3,0.4037872015072807,4
168,328,1,1,1.4681429528878396,2
87,490,1,2,1.1274567980104009,5
40,77,1,3,0.3366163029284662,4
193,492,1,5,-1.2428243076565237,5
130,475,1,1,-1.5507820259147893,2
146,212,1,1,-0.7074815584045138,4
179,361,1,2,1.3689859121286374,6
129,42,1,1,0.9105043779472219,2
59,493,1,2,0.9222866151301243,2
35,173,1,1,0.43501755298635975,2
174,419,1,1,0.6098076489265297,6
20,390,1,3,-0.09901605880088317,6
6,192,1,2,1.490020394438223,4
21,134,1,3,-1.7314699885776719,1
172,139,1,3,1.5834685161500397,1
181,184,1,2,-0.11928744511098549,4
71,435,1,3,-0.8994523965369342,6
94,271,1,1,-0.21803959799448663,1
69,43,1,1,-1.2450646872354032,6
71,151,1,1,0.6093622722632585,1
4,72,1,1,1.1587681270646202,6
144,446,1,2,0.8520115761709347,4
114,47,1,2,-0.39502958472596594,2
191,90,1,1,-1.4300849501682877,1
120,28,1,1,1.011658865559883,5
142,338,1,3,-0.04092814490029702,1
170,81,1,2,-0.25291394035487574,4
175,476,1,1,0.5382099762400497,2
